0|0|METHYLPHENIDATE HYDROCHLORIDE |SUCROSE |STARCH, CORN |HYPROMELLOSE, UNSPECIFIED |POLYETHYLENE GLYCOL, UNSPECIFIED |AMMONIO METHACRYLATE COPOLYMER TYPE B |METHACRYLIC ACID - ETHYL ACRYLATE COPOLYMER (1:1) TYPE A |TRIETHYL CITRATE |TALC |WATER |SILICON DIOXIDE |FD&C BLUE NO. 1 |TITANIUM DIOXIDE |GELATIN, UNSPECIFIED |D&C RED NO. 28 |D&C YELLOW NO. 10 |FD&C RED NO. 40 |D&C RED NO. 33 |FD&C RED NO. 3 |FD&C GREEN NO. 3 |FERROSOFERRIC OXIDE |||||||||
166|166|DEXTROAMPHETAMINE SACCHARATE |AMPHETAMINE ASPARTATE MONOHYDRATE |DEXTROAMPHETAMINE SULFATE |AMPHETAMINE SULFATE |CROSPOVIDONE (15 MPA.S AT 5%) |magnesium stearate |MICROCRYSTALLINE CELLULOSE |POVIDONE, UNSPECIFIED |starch, corn |D&C YELLOW NO. 10 |FD&C BLUE NO. 1 |||||||||||||||||||
167|167|Dextroamphetamine saccharate |Amphetamine aspartate |Dextroamphetamine sulfate |Amphetamine sulfate |CROSPOVIDONE (15 MPA.S AT 5%) |magnesium stearate |MICROCRYSTALLINE CELLULOSE |POVIDONE, UNSPECIFIED |starch, corn |D&C YELLOW NO. 10 |FD&C BLUE NO. 1 |||||||||||||||||||
168|168|DEXTROAMPHETAMINE SACCHARATE |AMPHETAMINE ASPARTATE MONOHYDRATE |DEXTROAMPHETAMINE SULFATE |AMPHETAMINE SULFATE |SILICON DIOXIDE |SUCROSE |MALTODEXTRIN |STARCH, CORN |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |SACCHARIN SODIUM |FD&C BLUE NO. 1 |FD&C YELLOW NO. 6 |||||||||||||||||
169|169|DEXTROAMPHETAMINE SACCHARATE |AMPHETAMINE ASPARTATE MONOHYDRATE |DEXTROAMPHETAMINE SULFATE |AMPHETAMINE SULFATE |GELATIN, UNSPECIFIED |HYPROMELLOSE, UNSPECIFIED |METHACRYLIC ACID - METHYL METHACRYLATE COPOLYMER (1:1) |SUCROSE |TALC |TRIETHYL CITRATE |FD&C BLUE NO. 2 |FERRIC OXIDE RED |FERRIC OXIDE YELLOW |||||||||||||||||
170|170|DEXTROAMPHETAMINE SACCHARATE |AMPHETAMINE ASPARTATE |DEXTROAMPHETAMINE SULFATE |AMPHETAMINE SULFATE |SILICON DIOXIDE |SUCROSE |STARCH, CORN |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |SACCHARIN SODIUM DIHYDRATE |FD&C BLUE NO. 1 |ALUMINUM OXIDE ||||||||||||||||||
171|171|DEXTROAMPHETAMINE SACCHARATE |AMPHETAMINE ASPARTATE |DEXTROAMPHETAMINE SULFATE |AMPHETAMINE SULFATE |SILICON DIOXIDE |SUCROSE |STARCH, CORN |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |SACCHARIN SODIUM DIHYDRATE |FD&C YELLOW NO. 6 |ALUMINUM OXIDE ||||||||||||||||||
172|172|DEXTROAMPHETAMINE SULFATE |SILICON DIOXIDE |FD&C RED NO. 40 |FD&C YELLOW NO. 6 |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |STARCH, CORN |||||||||||||||||||||||
173|173|DEXTROAMPHETAMINE SULFATE |ANHYDROUS CITRIC ACID |BENZOIC ACID |SACCHARIN SODIUM |SODIUM CITRATE |SORBITOL |WATER |||||||||||||||||||||||
174|174|DEXTROAMPHETAMINE SULFATE |ANHYDROUS CITRIC ACID |BENZOIC ACID |SACCHARIN SODIUM |SODIUM CITRATE |SORBITOL |WATER |||||||||||||||||||||||
175|175|Dextroamphetamine Sulfate |SILICON DIOXIDE |CROSPOVIDONE (15 MPA.S AT 5%) |MICROCRYSTALLINE CELLULOSE |STEARIC ACID |D&C RED NO. 27 |FD&C YELLOW NO. 6 |FD&C BLUE NO. 1 |D&C YELLOW NO. 10 |FD&C RED NO. 40 |FD&C BLUE NO. 2 |silicon dioxide |stearic acid |FD&C Blue NO. 1 |FD&C Blue NO. 2 |FD&C Red NO. 40 |D&C Red NO. 27 |D&C Yellow NO. 10 ||||||||||||
176|176|DEXTROAMPHETAMINE SULFATE |AMMONIA |FERROSOFERRIC OXIDE |ETHYLCELLULOSE, UNSPECIFIED |GELATIN, UNSPECIFIED |HYPROMELLOSE, UNSPECIFIED |HYDROXYPROPYL CELLULOSE (1600000 WAMW) |MEDIUM-CHAIN TRIGLYCERIDES |OLEIC ACID |POTASSIUM HYDROXIDE |PROPYLENE GLYCOL |FERRIC OXIDE RED |SHELLAC |SILICON DIOXIDE |SODIUM LAURYL SULFATE |SUCROSE |STARCH, CORN |TALC |TITANIUM DIOXIDE |FERRIC OXIDE YELLOW |ALCOHOL |POLYETHYLENE GLYCOL, UNSPECIFIED |BUTYL ALCOHOL |ISOPROPYL ALCOHOL |WATER |POLYETHYLENE GLYCOL 400 |POLYETHYLENE GLYCOL 8000 |HYDROXYPROPYL CELLULOSE (90000 WAMW) |FD&C RED NO. 40 |D&C YELLOW NO. 10 
177|177|DEXTROAMPHETAMINE SULFATE |SUCROSE |TITANIUM DIOXIDE |GELATIN, UNSPECIFIED |SHELLAC |ALCOHOL |FERROSOFERRIC OXIDE |PROPYLENE GLYCOL |FD&C BLUE NO. 2 |FD&C RED NO. 40 |FD&C BLUE NO. 1 |D&C YELLOW NO. 10 |ISOPROPYL ALCOHOL |BUTYL ALCOHOL |AMMONIA |D&C RED NO. 7 |HYPROMELLOSE, UNSPECIFIED |POLYETHYLENE GLYCOL, UNSPECIFIED |WATER |ETHYLCELLULOSE, UNSPECIFIED |MEDIUM-CHAIN TRIGLYCERIDES |OLEIC ACID ||||||||
178|178|DEXTROAMPHETAMINE SULFATE |AMMONIA |ETHYLCELLULOSES |GELATIN |HYDROXYPROPYL CELLULOSE (1600000 WAMW) |HYPROMELLOSES |MEDIUM-CHAIN TRIGLYCERIDES |OLEIC ACID |POLYETHYLENE GLYCOL, UNSPECIFIED |SUCROSE |STARCH, CORN |FERROSOFERRIC OXIDE |FERRIC OXIDE RED |SILICON DIOXIDE |SODIUM LAURYL SULFATE |TALC |TITANIUM DIOXIDE |FERRIC OXIDE YELLOW |BUTYL ALCOHOL |ALCOHOL |ISOPROPYL ALCOHOL |POTASSIUM HYDROXIDE |PROPYLENE GLYCOL |WATER |SHELLAC |FD&C RED NO. 40 |D&C YELLOW NO. 10 |||
179|179|DEXTROAMPHETAMINE SULFATE |CALCIUM SULFATE |SILICON DIOXIDE |SUCROSE |STARCH, CORN |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |D&C YELLOW NO. 10 |FD&C RED NO. 40 |FD&C YELLOW NO. 6 ||||||||||||||||||||
180|180|DEXTROAMPHETAMINE SULFATE |FD&C RED NO. 40 |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |SILICON DIOXIDE |D&C YELLOW NO. 10 |FD&C YELLOW NO. 6 |||||||||||||||||||||||
181|181|DEXTROAMPHETAMINE SULFATE |CETYL ALCOHOL |D&C YELLOW NO. 10 |DIBUTYL SEBACATE |ETHYLCELLULOSE (100 MPA.S) |FD&C RED NO. 40 |FD&C YELLOW NO. 6 |GELATIN |HYPROMELLOSES |POLYETHYLENE GLYCOL, UNSPECIFIED |POVIDONE |SODIUM LAURYL SULFATE ||||||||||||||||||
182|182|DEXTROAMPHETAMINE SULFATE |CETYL ALCOHOL |D&C YELLOW NO. 10 |DIBUTYL SEBACATE |ETHYLCELLULOSES |FD&C BLUE NO. 1 |FD&C RED NO. 40 |FD&C YELLOW NO. 6 |GELATIN |HYPROMELLOSES |POLYETHYLENE GLYCOL, UNSPECIFIED |POVIDONE |SODIUM LAURYL SULFATE |||||||||||||||||
183|183|Dextroamphetamine Sulfate |silicon dioxide |crospovidone (15 MPA.S AT 5%) |microcrystalline cellulose |stearic acid |D&C RED NO. 27 |FD&C Yellow NO. 6 |FD&C Red NO. 40 |FD&C Blue NO. 2 |||||||||||||||||||||
184|184|DEXTROAMPHETAMINE SULFATE |SUCROSE |CORN STARCH 3-E-DODECENYL SUCCINIC ANHYDRIDE MODIFIED |TITANIUM DIOXIDE |GELATIN, UNSPECIFIED |FERROSOFERRIC OXIDE |PROPYLENE GLYCOL |FD&C RED NO. 40 |FD&C BLUE NO. 1 |ALUMINUM OXIDE |ALCOHOL |ISOPROPYL ALCOHOL |BUTYL ALCOHOL |AMMONIA |FD&C BLUE NO. 2 |HYPROMELLOSE 2208 (100000 MPA.S) |POLYETHYLENE GLYCOL, UNSPECIFIED |WATER |ETHYLCELLULOSE, UNSPECIFIED |MEDIUM-CHAIN TRIGLYCERIDES |OLEIC ACID |SHELLAC ||||||||
185|185|DEXTROAMPHETAMINE SULFATE |MICROCRYSTALLINE CELLULOSE |POVIDONE, UNSPECIFIED |SILICON DIOXIDE |STEARIC ACID |||||||||||||||||||||||||
186|186|DEXTROAMPHETAMINE SULFATE |SILICON DIOXIDE |LACTOSE MONOHYDRATE |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |POVIDONE |D&C YELLOW NO. 10 |FERRIC OXIDE YELLOW |FERRIC OXIDE RED |FD&C YELLOW NO. 6 |FD&C RED NO. 40 |||||||||||||||||||
187|187|DEXTROAMPHETAMINE SULFATE |CETYL ALCOHOL |D&C YELLOW NO. 10 |DIBUTYL SEBACATE |ETHYLCELLULOSE (100 MPA.S) |FD&C RED NO. 40 |FD&C YELLOW NO. 6 |GELATIN |HYPROMELLOSES |POLYETHYLENE GLYCOLS |POVIDONE |SODIUM LAURYL SULFATE ||||||||||||||||||
188|188|DEXTROAMPHETAMINE SULFATE |D&C YELLOW NO. 10 |DIBUTYL SEBACATE |ETHYLCELLULOSE (20 MPA.S) |FD&C BLUE NO. 1 |FD&C RED NO. 40 |FERROSOFERRIC OXIDE |GELATIN |OLEIC ACID |POVIDONE K30 |PROPYLENE GLYCOL |SHELLAC |SILICON DIOXIDE |SODIUM LAURYL SULFATE |STARCH, CORN |SUCROSE |TALC |TITANIUM DIOXIDE |WATER |||||||||||
189|189|DEXTROAMPHETAMINE SULFATE |SILICON DIOXIDE |LACTOSE MONOHYDRATE |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |POVIDONE |D&C YELLOW NO. 10 |FERRIC OXIDE YELLOW |FERRIC OXIDE RED |FD&C YELLOW NO. 6 |FD&C RED NO. 40 |||||||||||||||||||
190|190|DEXTROAMPHETAMINE SULFATE |ANHYDROUS CITRIC ACID |BENZOIC ACID |SACCHARIN SODIUM |SODIUM CITRATE |SORBITOL |WATER |||||||||||||||||||||||
191|191|DEXTROAMPHETAMINE SULFATE |CALCIUM SULFATE |SILICON DIOXIDE |MALTODEXTRIN |SUCROSE |STARCH, CORN |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |D&C YELLOW NO. 10 |FD&C RED NO. 40 |FD&C YELLOW NO. 6 |||||||||||||||||||
192|192|DEXTROAMPHETAMINE SULFATE |SILICON DIOXIDE |DIBUTYL SEBACATE |ETHYLCELLULOSES |METHYLCELLULOSE (15 CPS) |POVIDONE |PROPYLENE GLYCOL |SUCROSE |STARCH, CORN |TALC |FERROSOFERRIC OXIDE |GELATIN |FERRIC OXIDE RED |TITANIUM DIOXIDE |FERRIC OXIDE YELLOW |D&C YELLOW NO. 10 |FD&C BLUE NO. 1 |FD&C BLUE NO. 2 |FD&C RED NO. 40 |ALUMINUM OXIDE |SHELLAC |||||||||
193|193|dextroamphetamine sulfate |||||||||||||||||||||||||||||
194|194|dextroamphetamine sulfate |D&C YELLOW NO. 10 |FD&C BLUE NO. 2 |FD&C RED NO. 40 |ALUMINUM OXIDE |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |STEARIC ACID |POVIDONE |STARCH, CORN |LACTOSE MONOHYDRATE |MALTODEXTRIN |SODIUM STARCH GLYCOLATE TYPE A POTATO |SUCROSE ||||||||||||||||
195|195|DEXTROAMPHETAMINE SULFATE |DEXTROAMPHETAMINE SACCHARATE |AMPHETAMINE ASPARTATE MONOHYDRATE |AMPHETAMINE SULFATE |GELATIN, UNSPECIFIED |HYPROMELLOSE, UNSPECIFIED |METHACRYLIC ACID - ETHYL ACRYLATE COPOLYMER (1:1) TYPE A |POLY(METHYL ACRYLATE-CO-METHYL METHACRYLATE-CO-METHACRYLIC ACID 7:3:1; 280000 MW) |SUCROSE |TALC |TRIETHYL CITRATE |FD&C BLUE NO. 2 |FERRIC OXIDE YELLOW |TITANIUM DIOXIDE |FERRIC OXIDE RED |D&C RED NO. 28 |D&C RED NO. 33 |FD&C BLUE NO. 1 ||||||||||||
196|196|DEXTROAMPHETAMINE SULFATE |DEXTROAMPHETAMINE SACCHARATE |AMPHETAMINE ASPARTATE MONOHYDRATE |AMPHETAMINE SULFATE |GELATIN, UNSPECIFIED |HYPROMELLOSE, UNSPECIFIED |METHACRYLIC ACID - METHYL METHACRYLATE COPOLYMER (1:1) |SUCROSE |TALC |TRIETHYL CITRATE |FD&C BLUE NO. 2 |TITANIUM DIOXIDE |FERRIC OXIDE RED |FERRIC OXIDE YELLOW ||||||||||||||||
197|197|DEXTROAMPHETAMINE SULFATE |DEXTROAMPHETAMINE SACCHARATE |AMPHETAMINE ASPARTATE |AMPHETAMINE SULFATE |GELATIN |HYPROMELLOSES |METHACRYLIC ACID - METHYL METHACRYLATE COPOLYMER (1:1) |SUCROSE |TALC |TRIETHYL CITRATE |FD&C BLUE NO. 2 |FD&C Blue No. 2 |FERRIC OXIDE RED |FERRIC OXIDE YELLOW ||||||||||||||||
198|198|DEXTROAMPHETAMINE SACCHARATE |AMPHETAMINE ASPARTATE |DEXTROAMPHETAMINE SULFATE |AMPHETAMINE SULFATE |SILICON DIOXIDE |FD&C BLUE NO. 1 |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |STARCH, CORN |SUCROSE |MALTODEXTRIN |FD&C YELLOW NO. 6 ||||||||||||||||||
199|199|DIHYDROCODEINE BITARTRATE |ACETAMINOPHEN |CAFFEINE |CROSPOVIDONE |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |POVIDONE |STARCH, CORN |STEARIC ACID |||||||||||||||||||||
200|200|ERGOTAMINE TARTRATE |CAFFEINE |TARTARIC ACID |HARD FAT ||||||||||||||||||||||||||
201|201|ERGOTAMINE TARTRATE |CAFFEINE |TARTARIC ACID |FAT, HARD ||||||||||||||||||||||||||
202|202|ERGOTAMINE TARTRATE |CAFFEINE |CELLULOSE, MICROCRYSTALLINE |CROSPOVIDONE |FD&C BLUE NO. 2 |FD&C RED NO. 40 |FD&C YELLOW NO. 5 |MAGNESIUM STEARATE |POLYETHYLENE GLYCOLS |POLYVINYL ALCOHOL |SILICON DIOXIDE |TALC |TITANIUM DIOXIDE |WATER ||||||||||||||||
203|203|ERGOTAMINE TARTRATE |CAFFEINE |CELLULOSE, MICROCRYSTALLINE |CROSPOVIDONE |FD&C BLUE NO. 2 |FD&C RED NO. 40 |FD&C YELLOW NO. 5 |MAGNESIUM STEARATE |POLYETHYLENE GLYCOLS |POLYVINYL ALCOHOL |SILICON DIOXIDE |TALC |TITANIUM DIOXIDE |WATER ||||||||||||||||
204|204|ERGOTAMINE TARTRATE |CAFFEINE |SILICON DIOXIDE |STARCH, CORN |MAGNESIUM STEARATE |MANNITOL |CELLULOSE, MICROCRYSTALLINE |SODIUM STARCH GLYCOLATE TYPE A POTATO |SUCROSE |TARTARIC ACID |FD&C BLUE NO. 2 |FD&C YELLOW NO. 6 |HYPROMELLOSES |POLYETHYLENE GLYCOLS |TITANIUM DIOXIDE |FERROSOFERRIC OXIDE ||||||||||||||
205|205|ERGOTAMINE TARTRATE |CAFFEINE |FERROSOFERRIC OXIDE |SUCROSE |FERRIC OXIDE RED |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |POLYETHYLENE GLYCOLS |POLYVINYL ALCOHOL |SODIUM STARCH GLYCOLATE TYPE A POTATO |TALC |TITANIUM DIOXIDE |FERRIC OXIDE YELLOW |||||||||||||||||
206|206|LISDEXAMFETAMINE DIMESYLATE |MICROCRYSTALLINE CELLULOSE |CROSCARMELLOSE SODIUM |MAGNESIUM STEARATE |GELATIN, UNSPECIFIED |TITANIUM DIOXIDE |FD&C BLUE NO. 1 |FERROSOFERRIC OXIDE |FERRIC OXIDE YELLOW |FD&C RED NO. 3 |FD&C YELLOW NO. 6 |SILICON DIOXIDE |MANNITOL |SUCRALOSE ||||||||||||||||
207|207|LISDEXAMFETAMINE DIMESYLATE |CELLULOSE, MICROCRYSTALLINE |CROSCARMELLOSE SODIUM |MAGNESIUM STEARATE |GELATIN |TITANIUM DIOXIDE |D&C RED NO. 28 |D&C YELLOW NO. 10 |FD&C BLUE NO. 1 |FD&C GREEN NO. 3 |FD&C RED NO. 40 |FERROSOFERRIC OXIDE |FERRIC OXIDE YELLOW |FD&C RED NO. 3 |FD&C YELLOW NO. 6 |||||||||||||||
208|208|METHAMPHETAMINE HYDROCHLORIDE |starch, corn |lactose monohydrate |stearic acid |talc |||||||||||||||||||||||||
209|209|METHAMPHETAMINE HYDROCHLORIDE |STARCH, CORN |LACTOSE, UNSPECIFIED FORM |AMINOBENZOATE SODIUM |STEARIC ACID |TALC ||||||||||||||||||||||||
210|210|METHAMPHETAMINE HYDROCHLORIDE |CROSPOVIDONE (15 MPA.S AT 5%) |MAGNESIUM STEARATE |MICROCRYSTALLINE CELLULOSE |POVIDONE K30 |WATER ||||||||||||||||||||||||
211|211|METHYLPHENIDATE HYDROCHLORIDE |GELATIN, UNSPECIFIED |POLYETHYLENE GLYCOL, UNSPECIFIED |DEXTROSE, UNSPECIFIED FORM |TALC |TITANIUM DIOXIDE |TRIETHYL CITRATE |FERRIC OXIDE YELLOW |FERROSOFERRIC OXIDE |FERRIC OXIDE RED ||||||||||||||||||||
212|212|METHYLPHENIDATE |||||||||||||||||||||||||||||
213|213|Methylphenidate |Mannitol |Fructose |Microcrystalline Cellulose |Crospovidone, Unspecified |Methacrylic Acid |Polystyrene Sulfonic Acid |Citric Acid Monohydrate |Silicon Dioxide |Triethyl Citrate |Magnesium Stearate |Ethylcellulose, Unspecified |Sucralose |Polyethylene Glycol, Unspecified ||||||||||||||||
214|214|Methylphenidate hydrochloride |butylated hydroxytoluene |carnauba wax |HYPROMELLOSE, UNSPECIFIED |LACTOSE, UNSPECIFIED FORM |phosphoric acid |POLYETHYLENE GLYCOL, UNSPECIFIED |POVIDONE, UNSPECIFIED |propylene glycol |sodium chloride |stearic acid |succinic acid |ferrosoferric oxide |titanium dioxide |triacetin |cellulose acetate ||||||||||||||
215|215|methylphenidate hydrochloride |HYPROMELLOSE 2208 (15000 MPA.S) |MICROCRYSTALLINE CELLULOSE |TALC |magnesium stearate |METHYLPHENIDATE HYDROCHLORIDE |HYPROMELLOSE 2910 (15000 MPA.S) |MAGNESIUM STEARATE ||||||||||||||||||||||
216|216|METHYLPHENIDATE HYDROCHLORIDE |GLYCERIN |HYDROCHLORIC ACID |POLYETHYLENE GLYCOL 1450 |WATER |GRAPE ||||||||||||||||||||||||
217|217|METHYLPHENIDATE HYDROCHLORIDE |POVIDONE |HYPROMELLOSES |POLYETHYLENE GLYCOL, UNSPECIFIED |ETHYLCELLULOSES |CETYL ALCOHOL |SODIUM LAURYL SULFATE |DIBUTYL SEBACATE |GELATIN |TITANIUM DIOXIDE |FD&C BLUE NO. 2 |FERRIC OXIDE YELLOW |D&C RED NO. 28 |FD&C BLUE NO. 1 |FD&C GREEN NO. 3 |FERROSOFERRIC OXIDE |FERRIC OXIDE RED |D&C YELLOW NO. 10 |FD&C RED NO. 40 |||||||||||
218|218|METHYLPHENIDATE HYDROCHLORIDE |ASPARTAME |MALTOSE |CELLULOSE, MICROCRYSTALLINE |PHOSPHORIC ACID |STARCH, CORN |STEARIC ACID |||||||||||||||||||||||
219|219|METHYLPHENIDATE HYDROCHLORIDE |SUCROSE |SILICON DIOXIDE |D&C YELLOW NO. 10 |LACTOSE MONOHYDRATE |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |||||||||||||||||||||||
220|220|methylphenidate hydrochloride |BUTYLATED HYDROXYTOLUENE |carnauba wax |cellulose acetate |hypromellose, unspecified |phosphoric acid |lactose, unspecified form |polyethylene glycol, unspecified |povidone, unspecified |sodium chloride |propylene glycol |stearic acid |succinic acid |ferrosoferric oxide |titanium dioxide |triacetin ||||||||||||||
221|221|METHYLPHENIDATE HYDROCHLORIDE |D&C YELLOW NO. 10 |LACTOSE |MAGNESIUM STEARATE |POLYETHYLENE GLYCOL |SUCROSE |TALC |FD&C GREEN NO. 3 |TRAGACANTH |||||||||||||||||||||
222|222|METHYLPHENIDATE HYDROCHLORIDE |LACTOSE MONOHYDRATE |MAGNESIUM STEARATE |MICROCRYSTALLINE CELLULOSE |TALC |||||||||||||||||||||||||
223|223|METHYLPHENIDATE HYDROCHLORIDE |MAGNESIUM STEARATE |POLYETHYLENE GLYCOL, UNSPECIFIED |SUCROSE |TALC |LACTOSE, UNSPECIFIED FORM |D&C YELLOW NO. 10 |FD&C GREEN NO. 3 |TRAGACANTH |CETOSTEARYL ALCOHOL |ZEIN |METHYL ALCOHOL |MINERAL OIL |POVIDONE, UNSPECIFIED |TITANIUM DIOXIDE |||||||||||||||
224|224|METHYLPHENIDATE HYDROCHLORIDE |GELATIN |POLYETHYLENE GLYCOL, UNSPECIFIED |DEXTROSE |TALC |TITANIUM DIOXIDE |TRIETHYL CITRATE |FERRIC OXIDE YELLOW |FERROSOFERRIC OXIDE |FERRIC OXIDE RED ||||||||||||||||||||
225|225|METHYLPHENIDATE HYDROCHLORIDE |LACTOSE MONOHYDRATE |MAGNESIUM STEARATE |POLYETHYLENE GLYCOL 8000 |TALC |FD&C BLUE NO. 2 |FD&C RED NO. 40 |D&C YELLOW NO. 10 |FD&C YELLOW NO. 6 |||||||||||||||||||||
226|226|METHYLPHENIDATE HYDROCHLORIDE |GLYCERIN |MALTITOL |HYDROCHLORIC ACID |GRAPE |WATER |SODIUM HYDROXIDE |SORBITOL |PROPYLENE GLYCOL |||||||||||||||||||||
227|227|METHYLPHENIDATE HYDROCHLORIDE |LACTOSE MONOHYDRATE |STARCH, CORN |TALC |D&C YELLOW NO. 10 |MAGNESIUM STEARATE |FD&C BLUE NO. 1 |||||||||||||||||||||||
228|228|methylphenidate hydrochloride |hydrochloric acid |Glycerin |water |polyethylene glycol, unspecified |sodium hydroxide ||||||||||||||||||||||||
229|229|METHYLPHENIDATE HYDROCHLORIDE |ANHYDROUS CITRIC ACID |GLYCERIN |POLYETHYLENE GLYCOL 1450 |WATER |||||||||||||||||||||||||
230|230|METHYLPHENIDATE HYDROCHLORIDE |POVIDONE |HYPROMELLOSES |POLYETHYLENE GLYCOL, UNSPECIFIED |ETHYLCELLULOSES |CETYL ALCOHOL |SODIUM LAURYL SULFATE |DIBUTYL SEBACATE |GELATIN |TITANIUM DIOXIDE |FD&C BLUE NO. 2 |FERRIC OXIDE YELLOW |D&C RED NO. 28 |FD&C BLUE NO. 1 |FD&C GREEN NO. 3 |FERROSOFERRIC OXIDE |FERRIC OXIDE RED |D&C YELLOW NO. 10 |FD&C RED NO. 40 |||||||||||
231|231|METHYLPHENIDATE HYDROCHLORIDE |ASPARTAME |ANHYDROUS LACTOSE |CELLULOSE, MICROCRYSTALLINE |GUAR GUM |STARCH, PREGELATINIZED CORN |STEARIC ACID |||||||||||||||||||||||
232|232|METHYLPHENIDATE HYDROCHLORIDE |ANHYDROUS CITRIC ACID |GLYCERIN |POLYETHYLENE GLYCOL 1450 |WATER |||||||||||||||||||||||||
233|233|METHYLPHENIDATE HYDROCHLORIDE |HYPROMELLOSES |PHOSPHORIC ACID |POLYETHYLENE GLYCOL, UNSPECIFIED |SILICON DIOXIDE |SODIUM CHLORIDE |MAGNESIUM STEARATE |SUCCINIC ACID |FERROSOFERRIC OXIDE |CELLULOSE ACETATE |POLYETHYLENE OXIDE 200000 |FD&C RED NO. 40 |FD&C BLUE NO. 2 |LACTOSE MONOHYDRATE |TITANIUM DIOXIDE |TRIACETIN |FD&C YELLOW NO. 6 |POLYETHYLENE OXIDE 5000000 |FD&C BLUE NO. 1 |||||||||||
234|234|METHYLPHENIDATE HYDROCHLORIDE |LACTOSE MONOHYDRATE |MICROCRYSTALLINE CELLULOSE |STEARIC ACID |FD&C YELLOW NO. 6 |FD&C BLUE NO. 1 ||||||||||||||||||||||||
235|235|METHYLPHENIDATE HYDROCHLORIDE |BUTYLATED HYDROXYTOLUENE |CARNAUBA WAX |CELLULOSE ACETATE |HYPROMELLOSES |PHOSPHORIC ACID |LACTOSE, UNSPECIFIED FORM |POLYETHYLENE GLYCOL, UNSPECIFIED |POVIDONE, UNSPECIFIED |PROPYLENE GLYCOL |SODIUM CHLORIDE |STEARIC ACID |SUCCINIC ACID |FERROSOFERRIC OXIDE |TITANIUM DIOXIDE |TRIACETIN |POLOXAMER 124 |||||||||||||
236|236|Methylphenidate Hydrochloride |SUCROSE |STARCH, CORN |HYPROMELLOSE, UNSPECIFIED |CELLULOSE ACETATE |HYPROMELLOSE ACETATE SUCCINATE 12070923 (3 MM2/S) |ACETYLTRIBUTYL CITRATE |ACETONE |TALC |WATER |TITANIUM DIOXIDE |GELATIN, UNSPECIFIED |FERROSOFERRIC OXIDE |SHELLAC |POTASSIUM HYDROXIDE |FD&C BLUE NO. 1 |D&C RED NO. 28 |FERRIC OXIDE YELLOW |AMMONIA |PROPYLENE GLYCOL |FD&C GREEN NO. 3 |FD&C RED NO. 40 |FD&C YELLOW NO. 6 |||||||
237|237|METHYLPHENIDATE HYDROCHLORIDE |LACTOSE MONOHYDRATE |MAGNESIUM STEARATE |MICROCRYSTALLINE CELLULOSE |TALC |HYPROMELLOSE 2208 (15000 MPA.S) ||||||||||||||||||||||||
238|238|METHYLPHENIDATE HYDROCHLORIDE |MICROCRYSTALLINE CELLULOSE |ETHYLCELLULOSE, UNSPECIFIED |HYDROXYPROPYL CELLULOSE (1200000 MW) |HYPROMELLOSE 2910 (6 MPA.S) |FERRIC OXIDE RED |FERRIC OXIDE YELLOW |FERROSOFERRIC OXIDE |MAGNESIUM STEARATE |MEDIUM-CHAIN TRIGLYCERIDES |OLEIC ACID |POLYETHYLENE GLYCOL, UNSPECIFIED |POLYVINYL ALCOHOL, UNSPECIFIED |PROPYLENE GLYCOL |SHELLAC |SILICON DIOXIDE |TALC |TITANIUM DIOXIDE |TRIACETIN |||||||||||
239|239|METHYLPHENIDATE HYDROCHLORIDE |SUCROSE |STARCH, CORN |ETHYLCELLULOSE, UNSPECIFIED |OLEIC ACID |MEDIUM-CHAIN TRIGLYCERIDES |TITANIUM DIOXIDE |GELATIN, UNSPECIFIED |SHELLAC |PROPYLENE GLYCOL |HYPROMELLOSE, UNSPECIFIED |POLYETHYLENE GLYCOL, UNSPECIFIED |FERROSOFERRIC OXIDE |FD&C BLUE NO. 2 |FERRIC OXIDE YELLOW |SODIUM HYDROXIDE |POVIDONE, UNSPECIFIED |FD&C BLUE NO. 1 |FD&C RED NO. 40 |FD&C YELLOW NO. 6 |FERRIC OXIDE RED |||||||||
