0|0|METHYLPHENIDATE HYDROCHLORIDE |SUCROSE |STARCH, CORN |HYPROMELLOSE, UNSPECIFIED |POLYETHYLENE GLYCOL, UNSPECIFIED |AMMONIO METHACRYLATE COPOLYMER TYPE B |METHACRYLIC ACID - ETHYL ACRYLATE COPOLYMER (1:1) TYPE A |TRIETHYL CITRATE |TALC |WATER |SILICON DIOXIDE |FD&C BLUE NO. 1 |TITANIUM DIOXIDE |GELATIN, UNSPECIFIED |D&C RED NO. 28 |D&C YELLOW NO. 10 |FD&C RED NO. 40 |D&C RED NO. 33 |FD&C RED NO. 3 |FD&C GREEN NO. 3 |FERROSOFERRIC OXIDE |||||||||
71|71|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |COLLOIDAL SILICON DIOXIDE |SODIUM STARCH GLYCOLATE TYPE A POTATO |FD&C BLUE NO. 1 ||||||||||||||||||||||
72|72|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |SILICON DIOXIDE, COLLOIDAL |CROSCARMELLOSE SODIUM |MAGNESIUM STEARATE |CELLULOSE, MICROCRYSTALLINE |STEARIC ACID ||||||||||||||||||||||
73|73|Butalbital |Acetaminophen |Caffeine |Magnesium Stearate |CELLULOSE, MICROCRYSTALLINE |Colloidal Silicon Dioxide |SODIUM STARCH GLYCOLATE TYPE A POTATO |||||||||||||||||||||||
74|74|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |||||||||||||||||||||||||||
75|75|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |||||||||||||||||||||||||||
76|76|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |CROSPOVIDONE, UNSPECIFIED |MICROCRYSTALLINE CELLULOSE |POVIDONE, UNSPECIFIED |STARCH, CORN |STEARIC ACID |TALC |D&C YELLOW NO. 10 |FD&C YELLOW NO. 6 |FD&C GREEN NO. 3 |FD&C RED NO. 40 |GELATIN, UNSPECIFIED |TITANIUM DIOXIDE |PROPYLENE GLYCOL |HYPROMELLOSE 2910 (6 MPA.S) |FD&C RED NO. 3 |FD&C BLUE NO. 1 |||||||||||
77|77|Butalbital |Acetaminophen |Caffeine |Codeine Phosphate |FD&C Blue No. 1 |FD&C Red No. 3 |FD&C Red No. 40 |FD&C Yellow No. 5 |GELATIN, UNSPECIFIED |MICROCRYSTALLINE CELLULOSE |Sodium Lauryl Sulfate |Stearic Acid |Talc |Titanium Dioxide ||||||||||||||||
78|78|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |CODEINE PHOSPHATE |FD&C Blue No. 1 |FD&C Red No. 3 |FD&C Red No. 40 |FD&C Yellow No. 5 |GELATIN, UNSPECIFIED |MICROCRYSTALLINE CELLULOSE |Sodium Lauryl Sulfate |Stearic Acid |Talc |Titanium Dioxide ||||||||||||||||
79|79|Butalbital |Acetaminophen |Caffeine |Codeine Phosphate |FD&C Blue No. 1 |FD&C Red No. 3 |FD&C Red No. 40 |FD&C Yellow No. 5 |Gelatin |Cellulose, Microcrystalline |Sodium Lauryl Sulfate |Stearic Acid |Talc |Titanium Dioxide ||||||||||||||||
80|80|BUTALBITAL |ACETAMINOPHEN |CAFFEINE |CODEINE PHOSPHATE |FD&C BLUE NO. 1 |FD&C RED NO. 3 |FD&C RED NO. 40 |FD&C YELLOW NO. 5 |GELATIN, UNSPECIFIED |MICROCRYSTALLINE CELLULOSE |SODIUM LAURYL SULFATE |STEARIC ACID |TALC |TITANIUM DIOXIDE ||||||||||||||||
